user_question,label_2
Можно управлть каналом грузить видео на чужой профиль только на сайте? В приложении студии сделайте так,Студия RUTUBE
хочу изменять интерфейс в обзоре студии приложения,Навигация
как передвигать блоки в обзоре в студиия7 на самсунге,Навигация
сколько мне начислили за видео в студии андроида?,Монетизация
можно как-то увидеть сколько рублей придет за мой блогерский ролик? Пользуюсь студией приложением,Монетизация
где заполнить заявку на монетизацию в студии руьуба?,Монетизация
как стать партнером в приложении студии,Монетизация
"как оформить договор чтобы деньги получать в приложении, мне сказадли в студии надо заявку оформить но я не могу найти такой раздел",Монетизация
Здравствуйте !  Мне не хватает функционала в настройке своего канала:нужна возможность помещать видео в плейлист.Хотелось бы иметь возможность делать это в приложении студии,Студия RUTUBE
"как на сайте можно создавать подборки-плейлситы своих видео, как то же делать в приложении студии?",Студия RUTUBE
Хотелось бы больше возможностей по созданию и управлению плейлистами. Нет возможности создать плейлисты из роликов моих,Студия RUTUBE
Именно подборки сделать возможности нет. Но вы можете создать плейлисты и добавить туда необходимые видеоролики. Создать их можно в Студии RUTUBE: https://studio.rutube.ru/playlists.Не могу войти,Студия RUTUBE
как посмотреть отклоненные модераторов ролики все?,Навигация
"Могу отфильтровать только опубликованные и запланированные видео, а заблокированные модерацией нет?",Навигация
Как заблокировать чужой канал в сприложении студии,Студия RUTUBE
"Здравствуйте. Появился раздел в настройках Студии на сайте ""Заблокированные пользователи"" Как разблокировать - есть такая  возможно, а как заблокировать - не  с ПК, а в приложении. Так как блокировать каналы других, чтобы не оставляли комментарии на моем канале? Спасибо.",Студия RUTUBE
как заблокировать канал навсегда с тудии на телефоне?!,Студия RUTUBE
"Добрый день!Прошу проинструктировать, как перенести видео с моего канала Youtube на мой канал Rutube в приложении Студия. С Уважением, Максим",Студия RUTUBE
как с ютуба к вам импортировать контент? В приле студии,Студия RUTUBE
"Добрый день. Спасибо. Подскажите, пожалуйста, как перенести более 100 видеов студии. На данный момент 175, пользуюсь прилой",Студия RUTUBE
"Можно дать доступ в студии человеку, у которого нет канала у вас?",Студия RUTUBE
"как мне добавить администратора, у которого нет канала на рутубе?",Студия RUTUBE
Можно дать 1 профилю роль редактора с ограниченными правами и модератора?,Студия RUTUBE
"почему-то не получается дать модератора моему подчиненному, редактора получилось, а модератора нет",Студия RUTUBE
Есть ограничение на количество получаемых ролей доя одного акаунта?,Студия RUTUBE
роль редактора позволяется делать все-все?,Студия RUTUBE
"что недоступно ребятам, которым дам доступ к своей студии?",Студия RUTUBE
"Канал, которомудам доступ к студии, назначать роли другим пользователям?",Студия RUTUBE
может другой управлять настройками доступов в моей студии?,Студия RUTUBE
как мне посмотреть что делал мой администратор на моем канале?,Студия RUTUBE
"мне кажется на моем канале были удалены видео, как посмотреть кто из админов удалил их? ",Студия RUTUBE
"я хочу дать доступ своему админу на свой канал, у него есть еще какие-то каналы в управлении? Как посмотреть",Студия RUTUBE
"можно увидеть все доступы, к которым есть доступ, у того, кому я его даю в студии?",Студия RUTUBE
"с правами Редактора создать трансляцию нельзя что ль  в итоге, если только почта в профиле?",Трансляция
"можно ли запускать трансляцию на чжом канале, если у меня расширенный доступ? Почему то номер все равно просит",Трансляция
"Есть роль на моем канале самая расширенная, могу почистить подписки через Студию чужую?",Студия RUTUBE
"я редактор, почему недосупен раздел подписок??????????????",Студия RUTUBE
Можно ли скачать Рутуб детям на телевизор?,Персонализация 0
"Мой сын любит смотреть мультики у вас, хотела ему на телевизоре их включать, есть ли увас приложение? У меня приставка Xiaomi.",Персонализация 0
Как сделать чтобы ролики сами не проигрывались?,Плеер
Не пойму как убрать автовоспроизведение?,Плеер
"Включил фильм на телевизоре, а там только HD, где 4К у вас?",Плеер
Можно ли смотреть 2к-4к с телевизора?,Плеер
"Я иногда делаю нарезки с трансляций, скажите я могу у вас скачать свою трансляцию после завершения?",Студия RUTUBE
На Rutube доступно скачивание своих стримов в записи?,Студия RUTUBE
"Я гражданин Казахстана, но у меня есть временная регистрация в Москве - смогу ли я подключить монетизацию на Рутуб?",Монетизация
"Можно ли монетизироваться, если нет российского паспорта?",Монетизация
"Возможно ли участвовать в партнерской программе, если зарегистрирован не в РФ?",Монетизация
"Я не являюсь самозанятым или ИП, как мне подключиться к монетизации?",Монетизация
"Я могу подать заявку на монетизацию, если я физ.лицо?",Монетизация
Как физлица могут подключиться к партнерской программе Rutube?,Монетизация
Здравствуйте такой вопрос. А если я не резидент РФ как подключить монетизация. Я же не могу оформить самозанятость.  Как в таком случае действовать ,Монетизация
"Здравствуйте. У вас обновилась монетизация, но про резидентов ничего не сказано. Подскажите, планируется ли как-то решить вопрос с возможностью подключения монетизации из других стран нерезидентов?",Монетизация
"Здравствуйте! Скажите, пожалуйста, недавно наша команда заметила кардинально обновлённую вкладку ""Монетизация"" в Rutube Studio нашего канала и хочет поинтересоваться, сама монетизация уже работает для нерезидентов Российской Федерации, и мы уже можем зарабатывать после того, как выполним все требования для этого? На всякий случай, наша команда работает на территории Молдавии (Республики Молдова).",Монетизация
"Добрый день! При регистрации на монетизацию у вас нет пункта физическое лицо, только предприниматели. Физику под каким статусом регистрироваться? ",Монетизация
Добрый день. А Вы не планирует как на Дзене сделать в монетизации «Физическое лицо»? Самозанятого регистрировать крайне не удобно.,Монетизация
"Я физическое лицо, как монетизировать свой контент?",Монетизация
Можно ли офрмить монетизацию за доуго человка?,Монетизация
"Мне нужно оформитьмонетизацию на другого, нужно ли переофрмлять канал?",Монетизация
Можено в трансляции включить субтитры?,Плеер
Доступен ли функционал субтитров трансляции?,Плеер
В записи трансляции появятся субтитры?,Плеер
Есть ли субтитры для записи трансляции?,Плеер
После того как трансляция сохраниться будут ли субтитры?,Плеер
Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?,Студия RUTUBE
Можно ли управлять другим каналом через приложение Студия RUTUBE?,Студия RUTUBE
"Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?",Навигация
Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?,Студия RUTUBE
Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?,Монетизация
Как подключиться к партнерской программе в приложении Студия RUTUBE?,Монетизация
Как создать плейлисты в приложении Студия RUTUBE?,Студия RUTUBE
Можно ли в приложении Студия RUTUBE создавать и вести трансляции?,Трансляция
"Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено"" в приложении Студия RUTUBE?",Навигация
Можно ли работать с комментариями в приложении Студия RUTUBE?,Студия RUTUBE
Как перенести видео c YouTube на RUTUBE?,Студия RUTUBE
Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?,Студия RUTUBE
Можно ли управлять другим каналом через приложение Студия RUTUBE?,Студия RUTUBE
"Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?",Навигация
Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?,Монетизация
Как подключиться к партнерской программе в приложении Студия RUTUBE?,Монетизация
Как создать плейлисты в приложении Студия RUTUBE?,Студия RUTUBE
"Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено""?",Навигация
"Можно ли заблокировать пользователя, оставляющего оскорбительные комментарии?",Студия RUTUBE
Как перенести видео с YouTube на RUTUBE?,Студия RUTUBE
"Можно ли предоставить доступ к студии канала другому пользователю, не зарегистрированному на RUTUBE?",Студия RUTUBE
Может ли один пользователь занимать сразу несколько ролей доступа в рамках студии одного канала?,Студия RUTUBE
Можно ли через настройки канала в Студии RUTUBE предоставить полный доступ к моей студии?,Студия RUTUBE
"Может ли пользователь, которому предоставлен доступ к студии канала, открывать доступ и назначать роли другим пользователям?",Студия RUTUBE
"Можно ли отследить действия пользователей, которым выдали доступ к студии канала?",Студия RUTUBE
"Могу ли я посмотреть, с какими студиями уже работает пользователь, которому я хочу предоставить доступ?",Студия RUTUBE
"Может ли пользователь с правами Редактора создать трансляцию, если у Владельца канала не указан в профиле номер телефона?",Трансляция
Может ли пользователь с правами Редактора управлять подписками Владельца канала?,Студия RUTUBE
Для каких телевизоров и ТВ-приставок доступно приложение RUTUBE Детям?,Персонализация 0
Как отключить автовоспроизведение?,Плеер
Как выбрать качество 4К в приложении RUTUBE на ТВ?,Плеер
Можно ли скачать файл записи своей трансляции на RUTUBE по ее завершению?,Студия RUTUBE
"Могу ли я подключиться к партнёрской программе, если я не резидент РФ?",Монетизация
"Как подключить монетизацию, если я физлицо?",Монетизация
"Могу ли я подключиться к партнёрской программе, если я не резидент РФ?",Монетизация
"Как подключить монетизацию, если я физлицо?",Монетизация
Я хочу оформить монетизацию на другого человека. Нужно ли переоформлять канал на него?,Монетизация
Доступны ли субтитры во время трансляций?,Плеер
Доступны ли субтитры в записи трансляций?,Плеер
