user_question,label_2
"Если я сейчас привяжу телевизор, я потом смогу еще добавить новый?",Регистрация/Авторизация
Телевизор можно только один привязать к аккаунту?,Регистрация/Авторизация
"QR ваш не сканируется, как мне войти?",Регистрация/Авторизация
"Навожу на куар код, ничего не происходит! Как авторизоваться в телевизоре??",Регистрация/Авторизация
"У меня ничего не открылось, хотя код отсканировала, помогите зарегистрироваться",Регистрация/Авторизация
"Как зайти на телевизоре? сканирую код, он не работает",Регистрация/Авторизация
"Я пока еще новичок, только зарегистрировался на Рутубе) не поделитесь как лучше оформить канал?",Персонализация
"Можете дать рекомендации, с чего начать оформление канала?",Персонализация
"Может у вас есть советы, как настроить канал?",Персонализация
Какие преимущества дает верификация?,Верификация
Что мне даст статус официального канала?,Верификация
А кто может верифецироваться на Rutub?,Верификация
Для кого доступен официальный канал на рутубе?,Верификация
А на верификацию только организации могут подать?,Верификация
А подать заявку можно любому?,Верификация
Как мне получить галочку на Рутуб? На Ютубе у меня 1000 подписчиков,Верификация
Как мне пройти верефикацию?,Верификация
Как отправить вам заявку на верификацию?,Верификация
Кому можно сделать официальный канал на Rutube?,Верификация
Кому точно одобрят верификацию?,Верификация
"Обязательно ли быть крупным блогером, чтобы пройти верификацию?",Верификация
"Я могу сделать свой канал официальным, если я простой человек (у меня нет всяких пабликов, я не ИП и не ООО)?",Верификация
А физикам доступна верификация на Рутуб?,Верификация
"Как поменять ссылку на канал, чтобы вместо цифр был мой ник?",Персонализация
Я могу настроить красивую ссылку на канал?,Персонализация
"Не могу найти, как поменять адрес канала, чтобы было так https://rutube.ru/vasya_007?",Персонализация
Сколько вы будете проверять мою заявку на верификацию?,Верификация
"Отправил вчера заявку на статус официального канала, а как долго ждать рассмотрения?",Верификация
Кто принимает решение по заявкам на верификацию?,Верификация
"Уже отправил вам заявку на получение галочки, хотел поинтересоваться, а кто ее будет проверять?",Верификация
Почему мою заявку на верификацию отклонили?,Верификация
"Мне отклонили заявку на галочку, что не так?",Верификация
"Вы не одобрили мою заявку на статус официального канала без комментариев… хотелось бы знать, в чем причина.",Верификация
"Я вам отправлял заявку на верификацию и уже две недели прошло, а ответа так и нет",Верификация
"Моя заявка на верификацию где-то зависла у вас, как узнать что с ней?",Верификация
"Заявка на верификацию в статусе рассмотрения уже больше 10 дней, когда ждать результат?",Верификация
"хаявку мне не одобрили, что делать как верефицировать канал?",Верификация
"Не согласен с тем, что я не дали статус официального канала",Верификация
"Мне не подтвердили галочку, что теперь?",Верификация
Очень долго не отвечают по заявке на верефикацию?,Верификация
"Я давно подал заявку на подтверждение канала, но ответа нет",Верификация
"Подавал заявку на галочку, очень давно нет ответа, как постпить?",Верификация
для чего нужно регистрироваться?,Регистрация/Авторизация
Зачем мне регистрация?,Регистрация/Авторизация
"что я должен ввести, чтобы зарегистрироваться?",Регистрация/Авторизация
что мне нужно чтобы пройти регистрацию?,Регистрация/Авторизация
"Подтверждение e-mail, это что?",Регистрация/Авторизация
"Подтверждение e-mail, что за ссылка пришла?",Регистрация/Авторизация
Не приходит письмо с подтверждением регистрации,Регистрация/Авторизация
Что делать если не пришло письмо с подтверждением регистрации?,Регистрация/Авторизация
А как поменять пароль?,Персонализация
Хочу сменить пароль. Что делать?,Персонализация
"Я не помню пороль?, как востановить?",Персонализация
Есть возвращение пароля?,Персонализация
"Забыл пароль, но письма для восстановления нет.",Регистрация/Авторизация
не могу востановить пароль не приходит e-mail,Регистрация/Авторизация
"Не помню пароля, когда отправляю письмо ничего нет",Регистрация/Авторизация
"Я не помню пароля от почты, которую привязывал, как теперь быть?",Регистрация/Авторизация
"Не могу хайти на привязанную почту, что делать?",Регистрация/Авторизация
"Мой имейл сейчас недостпен, который я добавлял сюда",Регистрация/Авторизация
как поменять номер телефона?,Персонализация
Как перепреривязать номер телефона?,Персонализация
Как изменить свой номер?,Персонализация
"Пишет, что не верный пароль, что теперь?",Регистрация/Авторизация
Говорит что пользователя не существует или неверный пароль?,Регистрация/Авторизация
"Пишет что нет такого пользователя или неверный пороль, ввожу всё корректно, что теперь делать?",Регистрация/Авторизация
Как удалить аккаунт?,Удаление аккаунта
"Прошу прощения! Удалите, пожалуйста:",Удаление аккаунта
хочу удалить канал,Удаление аккаунта
Здравствуй восстановите акаунт пожалуйста ,Регистрация/Авторизация
"Удалил свой аккаунт, восстановите плих",Регистрация/Авторизация
"Я из Кахастана, как харегистрироваться?",Регистрация/Авторизация
Можно ли зарегистрироваться если я нахожусь за пределами РФ?,Регистрация/Авторизация
Что за личный канал?,Персонализация
"Мой канал, это что такое?",Персонализация
Что такое личный канал?,Персонализация
Как сделать канал?,Регистрация/Авторизация
"Хочу завести канал на рутуб, как это сделать?",Регистрация/Авторизация
Как мне завсти канал?,Регистрация/Авторизация
Как поменять названия канала?,Персонализация
Хочк изменить название канала как это сделать?,Персонализация
"Мне нужно поменять название канала, подскажитье, пожалуйста, как?",Персонализация
че такое студия рутуб?,Персонализация
Студя рутуб это что?,Персонализация
Кого вы называете пользователем?,Регистрация/Авторизация
как стать пользователем?,Регистрация/Авторизация
Как стать автором?,Регистрация/Авторизация
как стать блоггером?,Регистрация/Авторизация
"Я ухочу удалить видео, как это сделать?",Удаление аккаунта
как удалить собственное видео?,Удаление аккаунта
"у меня на телевизоре появился код, куда его ввести?",Регистрация/Авторизация
Зачем мне код на телевизоре куда его вводить?,Регистрация/Авторизация
Как оформить платную подписку и что она дает7,Платный контент
Что такое платная подписка?,Платный контент
"списали деньги за какую-то подписку, я ничего не продлевал?",Платный контент
"За что списали деньги по подписке, я ничего не продлевал!",Платный контент
Как закрепить видео кстати?,Персонализация
как мне закрепить одно видео наа главной канала?,Персонализация
"Подскажите, можно ли изменить порядок расположения видео на странице? Или только через полное удоление?",Персонализация
"Можно ли внутри канала на вкладке ""видео"" как-то менять порядок видео?",Персонализация
"Добрый день! Помогите пожалуйста, если возможно сменить порядок видео. Загужал видео, сразу по несколько штук, а они получается не по порядку загрузились..",Персонализация
Что такое мобильное приложение Студия RUTUBE?,Персонализация
Какие функции доступны в приложении Студия RUTUBE?,Персонализация
Как зарегистрироваться в приложении Студия RUTUBE?,Регистрация/Авторизация
Как авторизоваться в приложении Студия RUTUBE?,Регистрация/Авторизация
Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?,Регистрация/Авторизация
Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?,Регистрация/Авторизация
Как выйти из аккаунта в приложении Студия RUTUBE?,Персонализация
Можно ли изменять данные профиля в приложении Студия RUTUBE?,Персонализация
Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?,Персонализация
Можно ли удалить канал через приложение Студия RUTUBE?,Удаление аккаунта
Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE?,Персонализация
Какие требования к обложке канала?,Персонализация
Не могу зарегистрироваться/авторизоваться в приложении Студия RUTUBE. Что делать?  ,Регистрация/Авторизация
Что такое мобильное приложение Студия RUTUBE?,Персонализация
Какие функции доступны в приложении Студия RUTUBE?,Персонализация
Как зарегистрироваться в приложении Студия RUTUBE?,Регистрация/Авторизация
Как авторизоваться в приложении Студия RUTUBE?,Регистрация/Авторизация
Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?,Регистрация/Авторизация
Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?,Регистрация/Авторизация
Как выйти из аккаунта в приложении Студия RUTUBE?,Персонализация
Можно ли изменять данные профиля в приложении Студия RUTUBE?,Персонализация
Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?,Персонализация
Можно ли удалить канал через приложение Студия RUTUBE?,Удаление аккаунта
Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE?,Персонализация
Какие требования к обложке канала?,Персонализация
Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?,Аналитика
Не могу зарегистрироваться/авторизоваться в приложении. Что делать?,Регистрация/Авторизация
Для чего нужны настройки доступа к студии канала в Студии RUTUBE?,Персонализация
Где находятся настройки доступа к студии канала в Студии RUTUBE?,Персонализация
"Какие данные пользователя потребуются, чтобы предоставить доступ к студии моего канала?",Персонализация
Как предоставить доступ к студии моего канала другому пользователю?,Персонализация
Можно ли предоставить доступ к студии канала другому пользователю по id канала?,Персонализация
Скольким пользователям можно предоставить доступ к студии канала?,Персонализация
К какому количеству студий может быть одновременно предоставлен доступ одному пользователю?,Персонализация
"Может ли пользователь, которому предоставили доступ к студии канала, самостоятельно отказаться от него?",Персонализация
"Где посмотреть, к каким студиям мне предоставлен доступ?",Персонализация
Какие бывают роли в доступах к студии канала?,Персонализация
Какие возможности взаимодействия со Студией доступны пользователю с правами Редактора?,Персонализация
Сколько пользователей можно назначить на роль Редактора?,Персонализация
Какие возможности взаимодействия со Студией доступны пользователю в роли Редактора с ограниченными правами?,Персонализация
Сколько пользователей можно назначить на роль Редактора с ограниченными правами?,Персонализация
Какие возможности взаимодействия со Студией доступны пользователю с правами Модератора комментариев?,Персонализация
Сколько пользователей можно назначить на роль Модератора комментариев?,Персонализация
Какие возможности взаимодействия со Студией доступны пользователю в роли Пользователя с правами просмотра?,Персонализация
Скольким пользователям можно предоставить права доступа на роль Пользователя с правами просмотра?,Персонализация
Какие возможности взаимодействия со Студией доступны пользователю в роли Пользователя с ограниченными правами просмотра?,Персонализация
Скольким пользователям можно предоставить права доступа на роль Пользователя с ограниченными правами просмотра?,Персонализация
Каким ролям в студии доступен функционал работы с комментариями?,Персонализация
"Как зрителям будут видны действия пользователей, которых назначили на роли?",Персонализация
Где найти историю просмотра?,Персонализация
Как очистить историю просмотра?,Персонализация
Сколько телевизоров или ТВ-приставок может быть привязано к одному профилю RUTUBE?,Регистрация/Авторизация
"Как войти в профиль, если при сканировании QR-кода не открывается страница входа?",Регистрация/Авторизация
Как мне лучше оформить свой канал?,Персонализация
Для чего нужна верификация и что она дает пользователю?,Верификация
Какие пользователи могут подать на верификацию канала?,Верификация
Как подать заявку на верификацию канала?,Верификация
Кто может получить верификацию?,Верификация
Может ли физическое лицо получить статус?,Верификация
Как поменять URL своего RUTUBE канала?,Персонализация
Сколько времени занимает рассмотрение заявки на верификацию канала?,Верификация
Кто рассматривает заявку на получение статуса?,Верификация
"Что делать, если заявку не одобрили?",Верификация
Моя заявка находится длительное время без ответа. Что делать?,Верификация
"Что делать, если заявку не одобрили?",Верификация
Моя заявка находится длительное время без ответа. Что делать?,Верификация
Зачем нужна регистрация на RUTUBE?,Регистрация/Авторизация
Что нужно для регистрации на RUTUBE?,Регистрация/Авторизация
Что такое подтверждение e-mail?,Регистрация/Авторизация
"Я подтвердил свою регистрацию, но письмо с подтверждением на мой e-mail не пришло",Регистрация/Авторизация
Как сменить пароль?,Персонализация
Как восстановить пароль?,Персонализация
"Забыл свой пароль, а письмо для его восстановления не приходит на почту",Регистрация/Авторизация
"Что делать, если у меня уже нет доступа к ранее указанному адресу электронной почты?",Регистрация/Авторизация
Как изменить привязанный к аккаунту номер телефона?,Персонализация
"Пробую авторизоваться, а сервис пишет, что такого пользователя не существует или пароль неверный. Что делать?",Регистрация/Авторизация
Я хочу удалить свой аккаунт. Как это сделать?,Удаление аккаунта
"Я удалил свой аккаунт, а теперь хочу восстановить его. Как это сделать?",Регистрация/Авторизация
"Могу ли я зарегистрироваться на RUTUBE, если я не из России?",Регистрация/Авторизация
Что такое личный канал на RUTUBE?,Персонализация
Как завести канал на RUTUBE?,Регистрация/Авторизация
Как изменить название моего канала на RUTUBE?,Персонализация
Что такое Студия RUTUBE?,Персонализация
Кто такой пользователь и как им стать?,Регистрация/Авторизация
Кто такой автор/блогер и как им стать?,Регистрация/Авторизация
Как удалить мой видеоролик?,Удаление аккаунта
В приложении RUTUBE для SmartTV на экране телевизора появляется код. Зачем он нужен и куда его ввести?,Регистрация/Авторизация
Что дает платная подписка? Как оформить?,Платный контент
"С меня сняли деньги за подписку, хотя я ее не продлевал.",Платный контент
Как закрепить видео на канале?,Персонализация
Как изменить порядок видео на канале?,Персонализация
